2026-06-07 11:28:37 | ERROR    | error | Request failed: GET /audit | Status: 404 | Error: client_error | IP: 127.0.0.1
2026-06-07 19:42:02 | ERROR    | error | Request failed: POST /analyze | Status: 400 | Error: client_error | IP: 127.0.0.1
2026-06-07 19:42:02 | ERROR    | error | Request failed: POST /analyze | Status: 400 | Error: client_error | IP: 127.0.0.1
2026-06-07 19:42:02 | ERROR    | error | Request failed: POST /analyze | Status: 400 | Error: client_error | IP: 127.0.0.1
2026-06-07 19:42:03 | ERROR    | error | Request failed: POST /analyze | Status: 429 | Error: client_error | IP: 127.0.0.1
2026-06-07 19:42:03 | ERROR    | error | Request failed: POST /analyze | Status: 429 | Error: client_error | IP: 127.0.0.1
2026-06-07 19:42:03 | ERROR    | error | Request failed: POST /analyze | Status: 429 | Error: client_error | IP: 127.0.0.1
2026-06-07 19:42:03 | ERROR    | error | Request failed: POST /analyze | Status: 429 | Error: client_error | IP: 127.0.0.1
2026-06-07 19:42:03 | ERROR    | error | Request failed: POST /analyze | Status: 429 | Error: client_error | IP: 127.0.0.1
2026-06-07 19:42:03 | ERROR    | error | Request failed: POST /analyze | Status: 429 | Error: client_error | IP: 127.0.0.1
2026-06-07 19:42:03 | ERROR    | error | Request failed: POST /analyze | Status: 429 | Error: client_error | IP: 127.0.0.1
2026-06-07 19:42:03 | ERROR    | error | Request failed: POST /analyze | Status: 429 | Error: client_error | IP: 127.0.0.1
2026-06-07 19:42:03 | ERROR    | error | Request failed: POST /analyze | Status: 429 | Error: client_error | IP: 127.0.0.1
2026-06-07 19:42:03 | ERROR    | error | Request failed: POST /analyze | Status: 429 | Error: client_error | IP: 127.0.0.1
2026-06-07 19:42:03 | ERROR    | error | Request failed: POST /analyze | Status: 429 | Error: client_error | IP: 127.0.0.1
2026-06-07 19:42:03 | ERROR    | error | Request failed: POST /analyze | Status: 429 | Error: client_error | IP: 127.0.0.1
2026-06-07 19:42:03 | ERROR    | error | Request failed: POST /analyze | Status: 429 | Error: client_error | IP: 127.0.0.1
2026-06-07 19:44:29 | ERROR    | error | Request failed: POST /analyze | Status: 400 | Error: client_error | IP: 127.0.0.1
2026-06-07 19:44:29 | ERROR    | error | Request failed: POST /analyze | Status: 400 | Error: client_error | IP: 127.0.0.1
2026-06-07 19:44:29 | ERROR    | error | Request failed: POST /analyze | Status: 400 | Error: client_error | IP: 127.0.0.1
2026-06-07 19:44:29 | ERROR    | error | Request failed: POST /analyze | Status: 500 | Error: server_error | IP: 127.0.0.1
2026-06-07 19:48:22 | ERROR    | error | Request failed: POST /analyze | Status: 500 | Error: server_error | IP: 127.0.0.1
2026-06-07 19:51:01 | ERROR    | error | Request failed: POST /analyze | Status: 500 | Error: server_error | IP: 127.0.0.1
2026-06-07 19:51:20 | ERROR    | error | Request failed: POST /analyze | Status: 400 | Error: client_error | IP: 127.0.0.1
